run_accession	ismA_only_species_mapped	total_reads	spiR_or_ismA_gene_mapped	spiR_and_ismA_species_mapped	spiR_only_species_mapped	spiR_or_ismA_species_mapped	Study	reads_mapped_spiR_species	reads_mapped_ismA_species	reads_mapped_spiR_gene	reads_mapped_ismA_gene	area_coprostanol	intensity_coprostanol
SRR27217289	2082	2667867	0	6325	4765	7154	PROTECT	7115	6380	0	0	931.3778409	1826.47998
SRR27217292	7058	3338458	244	198686	37420	220260	PROTECT	219345	199751	180	133	28365846.67	17524160
SRR27217293	9274	8759618	26	103468	50985	138401	PROTECT	136747	105423	11	15	6786686.583	1969443
SRR27217296	5717	5971625	0	51071	26234	66560	PROTECT	65899	51947	0	0	28562.34175	19878.63
SRR27217297	2084	3057205	0	21851	12157	30191	PROTECT	29747	22393	0	0	380746.748	152489.9
SRR27217298	31673	9054747	338	190540	77941	227398	PROTECT	222205	196511	337	1399	20576432.42	12081110
SRR27217299	63625	10429225	6	203000	183885	243482	PROTECT	242239	207455	6	0	138795.2781	32806.17
SRR27217306	8062	5745545	0	76314	34104	98074	PROTECT	96735	77993	0	0	83393.93269	31207.83
SRR27217309	9742	6475565	6	70084	34012	86776	PROTECT	85831	71347	6	0	24171.78217	20713.57
SRR27217312	26055	21761712	0	197020	119779	274361	PROTECT	269130	203126	0	0	51210.09595	28067.24
SRR27217313	6685	8250301	2	71177	32624	90895	PROTECT	90126	72138	2	0	10321.31085	7527.493164
SRR27217314	4179	8014107	0	8907	9088	10755	PROTECT	10746	8989	0	0	9696.898456	2792.91626
SRR27217317	14176	4264429	471	450265	32692	471263	PROTECT	469358	452384	284	181	12110546.47	10611190
SRR27217319	8263	10187690	3	109663	56799	146477	PROTECT	145675	110820	3	0	17651.59475	10038.37
SRR27217324	8843	6964732	0	57186	29905	71410	PROTECT	70631	58255	0	0	0	2678.045654
SRR27217326	452	3339104	0	4507	2744	5868	PROTECT	5878	4540	0	0	13527.74635	5179.143066
SRR27217328	33352	15326055	183	264270	156715	364762	PROTECT	359045	271355	177	778	330471290.5	71190340
SRR27217332	56200	17633444	432	296298	674559	910574	PROTECT	893965	316914	431	341	281881810.5	62832480
SRR27217333	3935	14361663	12	55357	49276	95328	PROTECT	95028	55789	10	2	14450033.96	10610760
SRR27217334	5392	6906783	0	25853	19440	34621	PROTECT	34210	26496	0	0	26837.64785	5575.950195
SRR27217338	2666	7787754	31	81784	19650	95378	PROTECT	95186	82094	12	19	365920.8209	162587.3
SRR27217339	3149	2519497	27	41181	12415	49750	PROTECT	48811	42213	24	3	29251991.8	16663560
SRR27217344	10	19315	0	40	32	59	PROTECT	57	42	0	0	17005.50455	3115.523682
SRR27217345	5969	5895027	0	31698	26551	46400	PROTECT	45671	32612	0	0	17494.72133	8273.911133
SRR27217346	1133	1887872	0	12446	7289	17025	PROTECT	16930	12588	0	0	0	2050.224854
SRR27217347	16422	9602009	0	117402	72669	162305	PROTECT	158617	121408	0	0	2067.051002	3112.863525
SRR27217349	10304	9743493	0	92012	64553	133492	PROTECT	132400	93498	0	0	8642.056637	4365.258301
SRR27217353	854	3067286	0	2987	2949	3987	PROTECT	3934	3043	0	0	12675.97224	5040.070801
SRR27217356	1430	5027943	0	21634	8638	26224	PROTECT	26208	21746	0	0	21288.46199	8939.833008
SRR27217358	11712	10837010	210	257734	48532	287737	PROTECT	286726	259113	143	67	10008081.81	9537522
SRR27217359	4369	4157114	0	34839	25529	50910	PROTECT	50533	35431	0	0	0	0
SRR27217365	27725	31367168	0	158955	130665	236220	PROTECT	234665	161651	0	0	63279.66623	18373.61
SRR27217369	1440	3962204	0	12785	5720	14875	PROTECT	14802	12885	0	0	0	2465.89502
SRR27217372	1605	1902088	0	11431	5339	13887	PROTECT	13724	11657	0	0	6244.675664	2930.049316
SRR27217373	2476	2007809	6	20756	22313	38474	PROTECT	38050	21277	6	0	5393038.758	1663974
SRR27217374	3374	3026320	0	17499	11548	22209	PROTECT	22073	17767	0	0	23443.2368	15743.57
SRR27217383	1121	1872697	0	8728	5553	12279	PROTECT	12105	8949	0	0	0	0
SRR27217384	13225	10984859	77	110279	165493	254738	PROTECT	252869	112497	77	0	31101115.98	20530050
SRR27217387	4464	3215370	18	34543	22344	48035	PROTECT	47655	35072	18	0	346055.2472	201780.4
SRR27217388	6364	12649425	1	74773	33288	96970	PROTECT	95617	76310	1	0	247794.8997	169116.5
SRR27217393	13076	17145061	0	135339	76950	184292	PROTECT	182688	137542	0	0	25181.52043	5620.94043
SRR27217395	12889	7267509	51	124506	58260	157238	PROTECT	156084	126181	32	19	566592.9357	265074.7
SRR27217399	25204	9980090	158	192053	125453	272703	PROTECT	269621	195939	158	1114	17729528.49	8818351
SRR27217401	1074	1245679	0	9844	6696	14017	PROTECT	13909	9999	0	0	0	3515.254395
SRR27217402	1041	2004437	2	9542	6485	13479	PROTECT	13393	9668	0	2	583.6278275	2409.713135
SRR27217403	14285	4383195	5	64749	40591	92326	PROTECT	86814	70755	5	37	252188424.2	60480880
SRR27217405	6430	11585082	0	83750	35206	106360	PROTECT	105402	84953	0	0	23076.9837	13764.85
SRR27217407	2548	1996797	2	14616	8728	18406	PROTECT	18186	14894	2	33	2437.855077	2758.965088
SRR27217408	4224	8702644	0	14267	11351	18198	PROTECT	18012	14685	0	0	1761.326186	4179.257324
SRR27217412	3035	4996004	0	44216	20972	57727	PROTECT	57409	44647	0	0	0	2746.241699
SRR27217413	12693	7738123	2	82438	50003	111987	PROTECT	109704	85236	2	0	11509.27861	5059.775391
SRR27217414	14748	6461421	153	160529	48269	187251	PROTECT	185195	163042	75	78	4415822.147	2738602
SRR27217416	6458	3871438	41	74630	26065	89128	PROTECT	88220	75783	28	104	31010960.21	11203190
SRR27217417	3470	7109420	0	37747	25315	54284	PROTECT	53980	38190	0	0	6089.039383	2604.748779
SRR27217419	35027	34360028	0	352880	163447	458486	PROTECT	452929	359519	0	0	52841.65788	33215.28
SRR27217422	13609	7133134	97	112206	207207	291054	PROTECT	289236	114788	97	134	60133683.48	17365330
SRR27217426	6009	6570813	0	65361	41395	91919	PROTECT	91488	66065	0	0	33123.1339	21213.25
SRR27217428	1670	2587867	40	36361	11180	43786	PROTECT	43568	36651	39	2	990497.6784	556021.5
SRR27217432	1953	2774214	0	14504	9056	19612	PROTECT	19502	14711	0	0	391999.3927	115239.6
SRR27217433	2991	7085390	0	50302	13564	57100	PROTECT	56928	50556	0	0	14671.0089	2689.155762
SRR27217437	9484	6533325	0	70831	44610	102486	PROTECT	99778	73822	0	0	1007297.969	197680.7
SRR27217439	3001	2197942	115	77245	11141	83728	PROTECT	83451	77597	71	44	5270864.285	2484703
SRR27217443	2711	2553257	0	26352	13820	35090	PROTECT	34721	26835	0	0	268615.5368	136386.4
SRR27217444	2958	6570984	0	37255	20310	50299	PROTECT	50116	37550	0	0	718619.6447	171915.7
SRR27217446	4346	4735049	24	32103	75528	100324	PROTECT	99290	33322	24	0	704843.3479	482010
SRR27217447	2152	2612236	2	19731	13942	28352	PROTECT	28183	19999	2	0	129449.8416	71416.05
SRR27217451	13538	23760352	0	105600	84309	159310	PROTECT	157982	107516	0	0	11776.87036	2581.619873
SRR27217454	4439	5933125	0	55460	27716	74309	PROTECT	73798	56078	0	0	136087.0084	27906.61
SRR27217458	2869	1878644	0	22319	12913	30333	PROTECT	29819	22918	0	0	9502.572609	5159.729004
SRR27217460	3422	5875596	0	29423	19417	41070	PROTECT	40716	29916	0	0	71827.5749	22241.25
SRR27217462	23032	17933741	716	535902	113199	614033	PROTECT	612196	538307	452	264	28521395.91	17258590
SRR27217465	34862	11104617	240	239727	140576	322893	PROTECT	317786	245751	238	1787	125469965.8	33198010
SRR27217467	4864	3679986	25	42202	57888	91568	PROTECT	90660	43308	25	0	44554610.22	12708230
SRR27217476	3348	3854877	59	72968	16776	84459	PROTECT	83895	73635	33	26	81982663.83	23171080
SRR27217477	7054	10052649	0	68912	34181	91718	PROTECT	90306	70614	0	0	79643.8897	44461.93
SRR27217479	17207	8955040	0	112424	82479	167464	PROTECT	163664	117086	0	0	109473.7121	58591.58
SRR27217485	7370	6572568	0	41827	30017	59213	PROTECT	57871	43483	0	0	26689.21811	15814.58
SRR27217487	934	2428508	0	10361	5277	13794	PROTECT	13672	10515	0	0	0	0
SRR27217488	9205	12663252	0	33931	25640	40626	PROTECT	40434	34362	0	0	17044.56348	8001.095703
SRR27217490	11255	9277497	0	61109	58947	94595	PROTECT	93432	62742	0	0	243608.7504	53200.49
SRR27217496	860	3849610	0	3439	2614	4504	PROTECT	4333	3631	0	0	23596.92665	12819.32
SRR27217497	44980	14425049	817	745685	229530	923345	PROTECT	918793	751560	501	312	209569271.9	49148530
SRR27217501	4754	4194093	0	36221	25303	51032	PROTECT	50592	36852	0	0	11344.9514	3412.202148
SRR27217505	8905	10557579	59	100662	189882	274012	PROTECT	272503	102534	59	0	1203986.493	715104
SRR27217509	5070	4564682	0	21168	16609	24282	PROTECT	24231	21266	0	0	10533.59552	3656.112793
SRR27217511	19749	12392159	193	280099	76631	324791	PROTECT	321677	284072	127	65	648405.8271	288652.9
SRR27217516	8960	8486573	0	52029	39239	71476	PROTECT	70937	52913	0	0	85954.46385	23317.16
SRR27217517	1738	1196009	16	32660	9286	38768	PROTECT	38570	32896	6	10	269769.5793	138992.7
SRR27217523	13712	3709878	112	86632	54277	119394	PROTECT	117224	89121	112	900	224705707.7	55183790
SRR27217524	7455	5716699	26	68184	105056	159109	PROTECT	157965	69722	26	0	1401807.455	995594.1
SRR27217529	35226	13803135	420	486493	139601	585788	PROTECT	580417	492898	269	150	110637062.4	27344040
SRR6468502	27498	16511105	85	186436	223691	367512	PRISM	361419	193765	85	0	4824125.559	2976005
SRR6468504	2290	1497559	0	20211	15575	30726	PRISM	30524	20553	0	0	7877.112596	16957.11
SRR6468505	14655	15788561	1	157996	83179	212467	PRISM	210127	161035	1	0	122024.0445	116958.5
SRR6468506	24570	15223865	598	715448	116918	788535	PRISM	783895	721054	439	158	174225115.7	82194380
SRR6468507	22282	16394950	0	155414	88172	207078	PRISM	203585	159907	0	0	99162.58196	122316.8
SRR6468508	34282	16588990	155	206765	345153	491486	PRISM	486143	213970	154	197	66875424.46	35312540
SRR6468509	9144	11505339	0	65415	43311	92320	PRISM	91285	66748	0	0	273738.5257	189133.7
SRR6468510	28036	16203303	905	212407	1352548	1508173	PRISM	1503904	218638	905	0	119420915.1	93025140
SRR6468511	29198	16888886	376	378550	64973	401809	PRISM	400488	380512	213	163	42680069.45	21256140
SRR6468512	28691	14620959	506	663772	141305	752663	PRISM	746265	671423	335	171	44453052.62	42113660
SRR6468513	8693	9551832	0	72088	61296	113618	PRISM	112776	73286	0	0	0	0
SRR6468520	21429	13394365	0	227216	102444	292766	PRISM	289084	231948	0	0	845959.9985	590858.3
SRR6468521	19102	13074534	0	56321	49694	65703	PRISM	65528	56891	0	0	10370.24482	16885.25
SRR6468522	93553	53456049	960	1773663	581724	2150844	PRISM	2125743	1803824	668	332	162657937.8	116038800
SRR6468523	63411	62646466	886	677071	2042241	2545470	PRISM	2530825	696895	929	1	108784187.4	56668710
SRR6468524	33611	17856699	238	321617	235073	508471	PRISM	502736	328821	167	172	289968387	172460000
SRR6468525	55464	48371378	3	651190	287119	833770	PRISM	826838	660475	1	4	92186.80454	109049.7
SRR6468526	25098	14473045	385	176833	736232	870145	PRISM	866606	181781	385	0	48170673.35	32120740
SRR6468527	13797	13411629	178	97221	276675	348502	PRISM	346912	99504	178	0	28579687.27	13777750
SRR6468528	35669	18780480	767	941091	182625	1055478	PRISM	1049237	948753	515	250	53877335.22	47694310
SRR6468529	46083	16202011	518	678194	172156	783064	PRISM	777354	685783	327	191	376152264.6	163217900
SRR6468530	29261	15731754	43	224167	148550	325689	PRISM	319713	231530	40	184	219001252.2	133772300
