Sample,RT,mz,RTobs,dRT,mzobs,dppm,intensity,area,compound
PRISM|8226,432.6,369.3519,432.668838,0.068837999999971,369.3521728515625,0.738730631951411,7150537.0,12788665.65879712,cholesterol
PRISM|8226,420.0,385.3465,420.631668,0.631667999999991,385.3470764160156,1.44304142782872,315293.9,529059.2487367085,cholestenone
PRISM|8226,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7904,432.6,369.3519,432.670386,0.070385999999985,369.35211181640625,0.628564407855597,14172830.0,26918454.05839507,cholesterol
PRISM|7904,420.0,385.3465,419.56329,-0.436710000000005,385.34716796875,1.707025297874954,160125200.0,301658728.3876325,cholestenone
PRISM|7904,450.0,371.3583,449.789952,-0.210047999999972,371.3586730957031,0.703358230312839,2149399.0,4091754.012861029,coprostanol
PRISM|8794,432.6,369.3519,432.936558,0.336557999999968,369.35223388671875,0.959063079989137,8115817.0,14907280.00889858,cholesterol
PRISM|8794,420.0,385.3465,419.294292,-0.705708000000016,385.3471374511719,1.680626910958838,1213046.0,1964436.089723997,cholestenone
PRISM|8794,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8788,432.6,369.3519,433.47195,0.87194999999997,369.3521728515625,0.766272188013839,1258075.0,1838017.088599139,cholesterol
PRISM|8788,420.0,385.3465,419.829834,-0.170165999999995,385.3468933105469,1.205455944698602,211331300.0,424962576.5915295,cholestenone
PRISM|8788,450.0,371.3583,449.78898,-0.211020000000019,371.35845947265625,0.566394467159494,3099554.0,5771886.203045629,coprostanol
PRISM|8809,432.6,369.3519,433.471734,0.871734000000004,369.3522033691406,0.848896856047224,1676910.0,2284764.641770664,cholesterol
PRISM|8809,420.0,385.3465,420.899538,0.899538000000007,385.3470153808594,1.680626910958838,251588.3,411646.6155455589,cholestenone
PRISM|8809,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7762,432.6,369.3519,432.93717,0.337169999999958,369.3520812988281,0.545939739822212,8030090.0,14720385.34699332,cholesterol
PRISM|7762,420.0,385.3465,420.097458,0.097458000000017,385.3470153808594,1.284651105741975,1783271.0,3665397.369048172,cholestenone
PRISM|7762,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8844,432.6,369.3519,432.13407,-0.465930000000014,369.3521728515625,0.628564407855597,19276730.0,29754596.19826092,cholesterol
PRISM|8844,420.0,385.3465,419.026974,-0.973026000000004,385.346923828125,1.284651105741975,3753103.0,5527648.209217428,cholestenone
PRISM|8844,450.0,371.3583,449.788668,-0.211332000000027,371.35858154296875,0.758143735482336,12861.71,0.0,coprostanol
PRISM|7486,432.6,369.3519,432.134358,-0.465642000000003,369.3523864746094,1.179395528180764,74360540.0,136780555.6368104,cholesterol
PRISM|7486,420.0,385.3465,419.294658,-0.705341999999973,385.3470153808594,1.390244653701463,5266349.0,8618940.984951034,cholestenone
PRISM|7486,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8765,432.6,369.3519,432.134358,-0.465642000000003,369.35223388671875,0.931521524080609,648249.4,1208361.810782433,cholesterol
PRISM|8765,420.0,385.3465,419.294652,-0.705348000000015,385.3470458984375,1.44304142782872,34916760.0,55299928.58953166,cholestenone
PRISM|8765,450.0,371.3583,448.718898,-1.281101999999976,371.35845947265625,0.182895930666879,1441486.0,1673056.127001743,coprostanol
PRISM|8683,432.6,369.3519,432.66966,0.069659999999999,369.3522033691406,0.876438411955752,12906070.0,22664274.4118801,cholesterol
PRISM|8683,420.0,385.3465,419.829948,-0.170051999999998,385.3471984863281,1.627830136831582,2477034.0,4603485.87453601,cholestenone
PRISM|8683,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7879,432.6,369.3519,432.402594,-0.197406000000001,369.3522033691406,1.014146192113994,644347.8,1331250.152950026,cholesterol
PRISM|7879,420.0,385.3465,419.295366,-0.704633999999999,385.3470764160156,1.469439814744836,77989860.0,119255208.3349661,cholestenone
PRISM|7879,450.0,371.3583,448.987128,-1.012872000000016,371.35845947265625,0.456823456820501,2578671.0,3682326.832462496,coprostanol
PRISM|8982,432.6,369.3519,432.402384,-0.197616000000039,369.3525390625,1.427269532280919,305127.3,617332.1462818151,cholesterol
PRISM|8982,420.0,385.3465,419.027778,-0.972221999999988,385.34722900390625,1.839017233045584,7209350.0,10608401.39477546,cholestenone
PRISM|8982,450.0,371.3583,449.521962,-0.478038000000026,371.3587951660156,1.415569798128573,1512985.0,2378083.775173962,coprostanol
PRISM|8096,432.6,369.3519,432.671892,0.071891999999991,369.3523254394531,1.014146192113994,22654720.0,42296479.12125881,cholesterol
PRISM|8096,420.0,385.3465,420.099696,0.099695999999994,385.34716796875,1.707025297874954,835821.9,1794574.889862347,cholestenone
PRISM|8096,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8692,432.6,369.3519,431.866734,-0.733266000000015,369.3522644042969,0.848896856047224,886588.3,1438871.520216739,cholesterol
PRISM|8692,420.0,385.3465,419.027154,-0.972846000000004,385.3471374511719,1.786220458918327,84100850.0,120798119.1951355,cholestenone
PRISM|8692,450.0,371.3583,449.521332,-0.478668000000027,371.3587341308594,1.114249519466737,2136980.0,3583021.577344105,coprostanol
PRISM|7938,432.6,369.3519,432.402444,-0.19755600000002,369.35235595703125,1.179395528180764,11386490.0,18575735.87828829,cholesterol
PRISM|7938,420.0,385.3465,419.027832,-0.972168000000011,385.3470764160156,1.416643040765092,1441351.0,2065727.845179,cholestenone
PRISM|7938,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8898,432.6,369.3519,432.66876,0.068759999999997,369.3521423339844,0.738730631951411,27764410.0,56795969.21671144,cholesterol
PRISM|8898,420.0,385.3465,419.561538,-0.438462000000015,385.3470764160156,1.44304142782872,6394176.0,11889984.65935939,cholestenone
PRISM|8898,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8444,432.6,369.3519,432.67185,0.071849999999984,369.352294921875,1.096770860147379,969586.1,1866160.281370866,cholesterol
PRISM|8444,420.0,385.3465,419.564628,-0.435371999999973,385.3472595214844,1.891814007025328,54994950.0,90564091.28547102,cholestenone
PRISM|8444,450.0,371.3583,449.256384,-0.743615999999975,371.358642578125,0.785536488143619,3720132.0,5438573.728794827,coprostanol
PRISM|7847,432.6,369.3519,432.676176,0.076175999999975,369.3522644042969,1.069229304084951,9412950.0,17821859.29972877,cholesterol
PRISM|7847,420.0,385.3465,419.30157,-0.698429999999974,385.3470458984375,1.363846266785348,11023780.0,17388258.8694915,cholestenone
PRISM|7847,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7861,432.6,369.3519,431.866938,-0.733062000000018,369.3522644042969,1.096770860147379,51547920.0,80482429.10440843,cholesterol
PRISM|7861,420.0,385.3465,419.027232,-0.972767999999974,385.34716796875,1.733423684938583,88437800.0,126190164.3062601,cholestenone
PRISM|7861,450.0,371.3583,448.718988,-1.281011999999976,371.3581237792969,-0.940206926302753,350089.1,432273.0604747343,coprostanol
PRISM|8789,432.6,369.3519,433.47207,0.872069999999951,369.3521728515625,0.821355299984796,729050.3,1078875.968538849,cholesterol
PRISM|8789,420.0,385.3465,419.829954,-0.170046000000013,385.3470458984375,1.337447879721719,61289010.0,118344437.0721607,cholestenone
PRISM|8789,450.0,371.3583,449.52171,-0.478290000000015,371.3586120605469,0.977285756313392,2683058.0,4589621.219629096,coprostanol
PRISM|8892,432.6,369.3519,432.670884,0.070883999999978,369.35211181640625,0.738730631951411,14374460.0,29169580.26001804,cholesterol
PRISM|8892,420.0,385.3465,419.563662,-0.436337999999978,385.3471374511719,1.601431749915466,1164102.0,2152449.832480145,cholestenone
PRISM|8892,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8485,432.6,369.3519,432.138516,-0.461484000000041,369.3522033691406,0.821355299984796,95118890.0,175335441.1824955,cholesterol
PRISM|8485,420.0,385.3465,419.833836,-0.166163999999981,385.3468322753906,1.020667235548229,18670820.0,37668094.41440057,cholestenone
PRISM|8485,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8805,432.6,369.3519,432.134718,-0.465282000000002,369.3522644042969,0.848896856047224,9395515.0,15643806.99444262,cholesterol
